Artist,Song,PlatinumGoldFlag
Busta Rhymes & Linkin Park,We Made It,0
Busta Rhymes & Mariah Carey,I Know What You Want,0
Busta Rhymes & Spliff Star,Make it Clap,0
Busta Rhymes,Arab Money,0
Busta Rhymes,As I Come Back,0
Busta Rhymes,Break Ya Neck,0
Busta Rhymes,I Love My Chick,0
Busta Rhymes,Light Your Ass On Fire,0
Busta Rhymes,Pass the Courvoisier - Part II,0
Busta Rhymes,Touch It,0
Busta Rhymes,What it Is,0
Busted,Where is the Love?,0
BZN,Goodbye,0
BZ,Arigato,0
BZ,Banzai,0
BZ,Burn (Fumetsu no Face),0
BZ,Don't Wanna Lie,0
BZ,Eien no Tsubasa,0
BZ,End Of Thermal Coming Beat,0
BZ,Energy Of Wildness,0
BZ,Energy,0
BZ,"Go for It, Baby (Kioku no Sanmyaku)",0
BZ,Gold,0
BZ,Ichibu to Zenbu/Dive,0
